top - 23:30:41 up  7:42,  1 user,  load average: 0.40, 0.45, 0.43
Tasks: 350 total,   1 running, 348 sleeping,   0 stopped,   1 zombie
%Cpu(s):  2.5 us,  2.0 sy,  0.5 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15736.3 total,   9436.6 free,   2759.0 used,   3540.7 buff/cache
MiB Swap:   9537.0 total,   9537.0 free,      0.0 used.  11643.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2157 hitcrt    20   0  196856  13596  12100 S   0.0   0.1   0:00.01 gnome-s+
   2225 hitcrt    20   0    6040    456      0 S   0.0   0.0   0:00.10 ssh-age+
   2234 hitcrt    20   0       0      0      0 Z   0.0   0.0   0:00.00 fcitx
   2236 hitcrt    20   0  146304  60984  30792 S   0.0   0.4   0:12.31 fcitx
   2243 hitcrt    20   0    7392   3620   3012 S   0.0   0.0   0:05.77 dbus-da+
   2247 hitcrt    39  19    5392    208      0 S   0.0   0.0   0:00.00 fcitx-d+
   2251 hitcrt    20   0  305424   6628   6028 S   0.0   0.0   0:00.00 at-spi-+
   2256 hitcrt    20   0    7380   4280   3816 S   0.0   0.0   0:00.97 dbus-da+
   2264 hitcrt    20   0   98700   4400   3980 S   0.0   0.0   0:00.00 gnome-s+
   2271 hitcrt    20   0  419096  15572  13012 S   0.0   0.1   0:00.40 gnome-s+
   2286 hitcrt    20   0 4707284 305892 118368 S   0.0   1.9  21:18.43 gnome-s+
   2312 hitcrt    20   0  393320   8428   6880 S   0.0   0.1   0:00.07 ibus-da+
   2316 hitcrt    20   0  245164   7120   6484 S   0.0   0.0   0:00.00 ibus-dc+
   2317 hitcrt    20   0  284328  31668  17868 S   0.0   0.2   0:00.73 ibus-ex+
   2319 hitcrt    20   0  206576  28056  18200 S   0.0   0.2   0:00.23 ibus-x11
   2321 hitcrt    20   0  245144   6360   5900 S   0.0   0.0   0:00.24 ibus-po+
   2335 hitcrt    20   0  162844   7468   6692 S   0.0   0.0   0:03.33 at-spi2+
   2339 hitcrt    20   0  244236   4864   4432 S   0.0   0.0   0:00.00 xdg-per+
   2341 hitcrt    20   0  580932  19448  16888 S   0.0   0.1   0:00.04 gnome-s+
   2350 hitcrt    20   0 1078844  25588  21700 S   0.0   0.2   0:00.04 evoluti+
   2359 hitcrt    20   0  847320  30124  26076 S   0.0   0.2   0:00.07 evoluti+
   2368 hitcrt    20   0  156356   5780   5060 S   0.0   0.0   0:00.17 dconf-s+
   2374 hitcrt    20   0  755676  29996  26292 S   0.0   0.2   0:00.05 evoluti+
   2389 hitcrt    20   0 2938920  26992  21732 S   0.0   0.2   0:00.07 gjs
   2401 hitcrt    20   0  322608   8108   6856 S   0.0   0.1   0:00.16 gvfsd-t+
   2413 hitcrt    20   0  318296   6412   5816 S   0.0   0.0   0:00.09 gsd-a11+
   2414 hitcrt    20   0  439516  30500  20160 S   0.0   0.2   0:00.52 gsd-col+
   2415 hitcrt    20   0  382252  16196  14256 S   0.0   0.1   0:00.10 gsd-dat+
   2418 hitcrt    20   0  320360   7504   6720 S   0.0   0.0   0:01.46 gsd-hou+
   2420 hitcrt    20   0  354568  28616  18644 S   0.0   0.2   0:00.36 gsd-key+
   2423 hitcrt    20   0  696824  31140  20592 S   0.0   0.2   0:00.62 gsd-med+
   2425 hitcrt    20   0  428700  29452  19048 S   0.0   0.2   0:00.52 gsd-pow+
   2427 hitcrt    20   0  256860  11212   9804 S   0.0   0.1   0:00.10 gsd-pri+
   2431 hitcrt    20   0  465740   6012   5372 S   0.0   0.0   0:00.11 gsd-rfk+
   2432 hitcrt    20   0  244148   6116   5512 S   0.0   0.0   0:00.14 gsd-scr+
   2433 hitcrt    20   0  473420  10176   8760 S   0.0   0.1   0:00.99 gsd-sha+
   2435 hitcrt    20   0  323796   8244   7432 S   0.0   0.1   0:00.10 gsd-sma+
   2439 hitcrt    20   0  327988   9056   8052 S   0.0   0.1   0:00.10 gsd-sou+
   2441 hitcrt    20   0  393604   7316   6552 S   0.0   0.0   0:00.10 gsd-usb+
   2444 hitcrt    20   0  280344  28296  18200 S   0.0   0.2   0:00.38 gsd-wac+
   2447 hitcrt    20   0  322728   7908   7020 S   0.0   0.0   0:00.10 gsd-wwan
   2452 hitcrt    20   0  355384  29796  18948 S   0.0   0.2   0:00.48 gsd-xse+
   2462 hitcrt    20   0  231808   6072   4780 S   0.0   0.0   0:00.00 gsd-dis+
   2482 hitcrt    20   0  654552  58860  42952 S   0.0   0.4   0:00.35 evoluti+
   2529 hitcrt    20   0  350820  14960  13048 S   0.0   0.1   0:00.01 gsd-pri+
   2547 hitcrt    20   0  171336   7068   6436 S   0.0   0.0   0:00.01 ibus-en+
   2634 hitcrt    20   0 1333000 154376  92884 S   0.0   1.0   0:43.42 v2milk
   2637 hitcrt    20   0  195412  40264  29164 S   0.0   0.2   0:00.01 v2milk
   2663 hitcrt    20   0  479772 107284  77172 S   0.0   0.7   0:01.78 v2milk
   2731 hitcrt    20   0  812260  29572  11324 S   0.0   0.2   0:46.06 v2ray
   2801 hitcrt    20   0  471328  10568   9136 S   0.0   0.1   0:00.91 xdg-des+
   2811 hitcrt    20   0  539796   6312   5708 S   0.0   0.0   0:00.29 xdg-doc+
   2821 hitcrt    20   0  502512  28332  18892 S   0.0   0.2   0:02.23 xdg-des+
   3080 hitcrt    20   0  171004   6384   5640 S   0.0   0.0   0:00.16 gvfsd-m+
   3083 hitcrt    20   0  430076  34328  24780 S   0.0   0.2   0:00.83 update-+
   8360 hitcrt    20   0 1301952   8392   7376 S   0.0   0.1   0:01.91 cpptools
   8414 hitcrt    20   0 5545884  11108   7012 S   0.0   0.1   0:03.04 cpptool+
  16288 root      20   0       0      0      0 I   0.0   0.0   0:01.58 kworker+
  19242 root      20   0       0      0      0 I   0.0   0.0   0:02.75 kworker+
  21061 root      20   0       0      0      0 I   0.0   0.0   0:00.93 kworker+
  22146 root      20   0       0      0      0 I   0.0   0.0   0:08.21 kworker+
  22229 root      20   0       0      0      0 I   0.0   0.0   0:00.73 kworker+
  22397 hitcrt    20   0   33.0g 501404 387832 S   0.0   3.1   1:00.20 chrome
  22403 hitcrt    20   0   16868    520    452 S   0.0   0.0   0:00.00 cat
  22404 hitcrt    20   0   16868    584    516 S   0.0   0.0   0:00.00 cat
  22406 hitcrt    20   0   32.0g   3344   3096 S   0.0   0.0   0:00.00 chrome_+
  22408 hitcrt    20   0   32.0g   3028   2748 S   0.0   0.0   0:00.00 chrome_+
  22414 hitcrt    20   0   32.3g  57924  46564 S   0.0   0.4   0:00.00 chrome
  22415 hitcrt    20   0   32.3g  58292  46968 S   0.0   0.4   0:00.01 chrome
  22416 hitcrt    20   0   32.0g   5144   4740 S   0.0   0.0   0:00.00 nacl_he+
  22419 hitcrt    20   0   32.3g  16180   4736 S   0.0   0.1   0:00.09 chrome
  22443 hitcrt    20   0   32.6g 185416 120084 S   0.0   1.2   2:32.58 chrome
